date,state,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations_per_million,share_doses_used,fips,deaths,new_cases,total_cases,population
2020-03-04,New York,,,,,,,,,,,,36,0,9,11,19455200
2020-03-04,North Carolina,,,,,,,,,,,,37,0,0,1,10487000
2020-03-04,Oregon,,,,,,,,,,,,41,0,0,2,4217500
2020-03-04,Rhode Island,,,,,,,,,,,,44,0,0,2,1059300
2020-03-04,Texas,,,,,,,,,,,,48,0,1,12,28997300
2020-03-04,Utah,,,,,,,,,,,,49,0,0,1,3206300
2020-03-04,Washington,,,,,,,,,,,,53,11,15,47,7614800
2020-03-04,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-03-05,Arizona,,,,,,,,,,,,4,0,0,2,7277900
2020-03-05,California,,,,,,,,,,,,6,1,12,67,39513700
2020-03-05,Colorado,,,,,,,,,,,,8,0,2,2,5758500
2020-03-05,Florida,,,,,,,,,,,,12,0,1,4,21479100
2020-03-05,Georgia,,,,,,,,,,,,13,0,0,2,10617100
2020-03-05,Illinois,,,,,,,,,,,,17,0,1,5,12672400
2020-03-05,Maryland,,,,,,,,,,,,24,0,3,3,6045800
2020-03-05,Massachusetts,,,,,,,,,,,,25,0,1,3,6892900
2020-03-05,Nebraska,,,,,,,,,,,,31,0,0,13,1934500
2020-03-05,Nevada,,,,,,,,,,,,32,0,2,2,3080400
2020-03-05,New Hampshire,,,,,,,,,,,,33,0,0,2,1359700
2020-03-05,New Jersey,,,,,,,,,,,,34,0,1,2,8881900
2020-03-05,New York,,,,,,,,,,,,36,0,11,22,19455200
2020-03-05,North Carolina,,,,,,,,,,,,37,0,0,1,10487000
2020-03-05,Oregon,,,,,,,,,,,,41,0,0,2,4217500
2020-03-05,Rhode Island,,,,,,,,,,,,44,0,0,2,1059300
2020-03-05,Tennessee,,,,,,,,,,,,47,0,1,1,6830000
2020-03-05,Texas,,,,,,,,,,,,48,0,4,16,28997300
2020-03-05,Utah,,,,,,,,,,,,49,0,0,1,3206300
2020-03-05,Washington,,,,,,,,,,,,53,11,28,75,7614800
2020-03-05,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-03-06,Arizona,,,,,,,,,,,,4,0,1,3,7277900
2020-03-06,California,,,,,,,,,,,,6,1,14,81,39513700
2020-03-06,Colorado,,,,,,,,,,,,8,0,6,8,5758500
